N,Cost
1.000000000000000000e+01,4.020932091958031265e+02
2.000000000000000000e+01,3.871605741018040021e+02
3.000000000000000000e+01,3.854051528493429828e+02
4.000000000000000000e+01,3.848566595184523180e+02
5.000000000000000000e+01,3.846087009931462717e+02
6.000000000000000000e+01,3.844726136517130612e+02
7.000000000000000000e+01,3.843884493305947103e+02
8.000000000000000000e+01,3.843320139191152407e+02
9.000000000000000000e+01,3.842919008130710949e+02
1.000000000000000000e+02,3.842621085028550851e+02
1.100000000000000000e+02,3.842392101276619769e+02
1.200000000000000000e+02,3.842211208027188150e+02
1.300000000000000000e+02,3.842065061801848174e+02
1.400000000000000000e+02,3.841944761611354124e+02
1.500000000000000000e+02,3.841844161608124182e+02
1.600000000000000000e+02,3.841758892728679484e+02
1.700000000000000000e+02,3.841685770460884441e+02
1.800000000000000000e+02,3.841622422919872406e+02
1.900000000000000000e+02,3.841567049739630875e+02
2.000000000000000000e+02,3.841518261374129111e+02
